"distance m","value db"
3.819024,10.089
3.819344,10.086
3.819663,10.086
3.819982,10.086
3.820301,10.056
3.82062,9.916
3.820939,9.804
3.821258,9.784
3.821578,9.85
3.821897,9.879
3.822216,9.864
3.822535,9.811
3.822854,9.767
3.823173,9.808
3.823493,9.851
3.823812,9.859
3.824131,9.818
3.82445,9.658
3.824769,9.534
3.825088,9.57
3.825408,9.691
3.825727,9.76
3.826046,9.704
3.826365,9.712
3.826684,9.762
3.827003,9.712
3.827322,9.736
3.827642,9.792
3.827961,9.804
3.82828,9.73
3.828599,9.739
3.828918,9.792
3.829237,9.73
3.829557,9.662
3.829876,9.726
3.830195,9.653
3.830514,9.536
3.830833,9.511
3.831152,9.624
3.831471,9.611
3.831791,9.529
3.83211,9.51
3.832429,9.509
3.832748,9.509
3.833067,9.502
3.833386,9.468
3.833706,9.442
3.834025,9.416
3.834344,9.398
3.834663,9.394
3.834982,9.329
3.835301,9.241
3.835621,9.194
3.83594,9.189
3.836259,9.196
3.836578,9.227
3.836897,9.309
3.837216,9.364
3.837535,9.318
3.837855,9.324
3.838174,9.364
3.838493,9.38
3.838812,9.379
3.839131,9.374
3.83945,9.184
3.83977,8.999
3.840089,8.957
3.840408,8.948
3.840727,8.94
3.841046,8.941
3.841365,8.946
3.841684,8.98
3.842004,9.01
3.842323,9.015
3.842642,8.976
3.842961,8.981
3.84328,8.969
3.843599,8.98
3.843919,8.996
3.844238,8.99
3.844557,8.959
3.844876,8.962
3.845195,9.071
3.845514,9.151
3.845834,9.166
3.846153,9.166
3.846472,9.166
3.846791,9.166
3.84711,9.098
3.847429,9.036
3.847748,9.024
3.848068,9.023
3.848387,9.023
3.848706,8.98
3.849025,8.94
3.849344,8.848
3.849663,8.769
3.849983,8.923
3.850302,9.063
3.850621,8.931
3.85094,8.784
3.851259,8.625
3.851578,8.69
3.851898,8.826
3.852217,8.852
3.852536,8.557
3.852855,8.253
3.853174,8.539
3.853493,8.805
3.853812,8.821
3.854132,8.796
3.854451,8.697
3.85477,8.608
3.855089,8.691
3.855408,8.784
3.855727,8.807
3.856047,8.8
3.856366,8.787
3.856685,8.781
3.857004,8.793
3.857323,8.806
3.857642,8.794
3.857961,8.726
3.858281,8.672
3.8586,8.624
3.858919,8.627
3.859238,8.644
3.859557,8.64
3.859876,8.638
3.860196,8.638
3.860515,8.638
3.860834,8.609
3.861153,8.502
3.861472,8.506
3.861791,8.483
3.862111,8.356
3.86243,8.35
3.862749,8.396
3.912856,8.644
3.913176,9.438
3.913495,12.167
3.913814,13.265
3.914133,13.25
3.914452,12.474
3.914771,11.178
3.91509,9.583
3.91541,8.16
3.915729,7.358
3.916048,6.672
3.916367,6.291
3.916686,6.227
3.917005,6.223
3.917325,6.223
3.917644,6.124
3.917963,5.97
3.918282,5.896
3.918601,6.532
3.91892,7.028
3.919239,7.095
3.919559,7.066
3.919878,6.949
3.920197,6.844
3.920516,6.825
3.920835,6.91
3.921154,6.9
3.921474,6.837
3.921793,6.824
3.922112,6.824
3.922431,6.824
3.92275,6.862
3.923069,6.896
3.923389,6.949
3.923708,6.945
3.924027,7.098
3.924346,7.247
3.924665,7.064
3.924984,6.86
3.925303,6.82
3.925623,6.817
3.925942,6.889
3.926261,6.881
3.92658,6.83
3.926899,6.76
3.927218,6.707
3.927538,6.831
3.927857,6.942
3.928176,6.837
3.928495,6.684
3.928814,6.627
3.929133,6.499
3.929452,6.512
3.929772,6.6
3.930091,6.619
3.93041,6.62
3.930729,6.574
3.931048,7.095
3.931367,7.494
3.931687,7.561
3.932006,7.564
3.932325,7.303
3.932644,7.041
3.932963,6.989
3.933282,6.986
3.933602,6.986
3.933921,6.443
3.93424,5.531
3.934559,5.065
3.934878,6.181
3.935197,6.984
3.935516,7.175
3.935836,6.822
3.936155,6.425
3.936474,6.342
3.936793,6.338
3.937112,6.753
3.937431,6.914
3.937751,6.829
3.93807,6.804
3.938389,6.803
3.938708,6.803
3.939027,6.564
3.939346,6.424
3.939665,6.465
3.939985,6.478
3.940304,6.43
3.940623,6.386
3.940942,6.377
3.941261,6.427
3.94158,6.471
3.9419,6.597
3.942219,6.776
3.942538,6.859
3.942857,6.798
3.943176,6.731
3.943495,6.719
3.943815,6.466
3.944134,5.863
3.944453,5.846
3.944772,5.735
3.945091,5.168
3.94541,5.114
3.945729,5.295
3.946049,5.664
3.946368,5.92
3.946687,5.962
3.947006,5.964
3.947325,5.309
3.947644,4.49
3.947964,5.265
3.949878,5.711
3.95307,3.376
3.973815,5.96
3.975092,3.312
3.97573,5.333
3.976368,4.083
3.976688,0.979
3.977007,0.0
3.977964,4.104
3.978283,5.419
3.980837,4.285
3.981156,1.411
3.981475,0.0
3.981794,3.852
3.982752,5.49
3.984667,4.032
3.984986,0.0
3.986581,2.268
3.98722,2.947
3.987539,4.701
3.998071,0.0
3.999986,1.079
4.000305,3.531
4.001263,5.076
4.001582,6.089
4.007965,4.173
4.008284,1.723
4.008603,0.664
4.010837,4.037
4.011156,5.107
4.011476,6.324
4.01754,4.935
4.019774,4.349
4.020093,0.055
4.022327,2.374
4.022646,4.181
4.030306,4.04
4.030944,5.013
4.034455,2.583
4.035412,4.274
4.036051,3.291
4.037008,0.0
4.037327,1.467
4.037646,3.368
4.039242,4.649
4.039561,5.711
4.040838,3.538
4.041157,0.0
4.041476,2.969
4.041796,4.842
4.043072,6.287
4.045306,5.923
4.045625,4.558
4.052009,4.63
4.052328,2.708
4.052966,0.0
4.0552,1.063
4.056158,2.929
4.063498,5.315
4.066051,4.536
4.066371,0.0
4.06669,4.75
4.067328,0.0
4.071796,2.547
4.073073,0.352
4.073711,1.781
4.07403,3.371
4.075945,5.127
4.082648,2.103
4.082967,0.0
4.085201,1.235
4.091903,3.082
4.092541,4.445
4.098286,1.6
4.098605,0.0
4.101478,3.283
4.103393,1.939
4.103712,0.0
4.107223,2.631
4.107542,4.472
4.108499,0.0
4.108818,1.809
4.109137,0.0
4.112648,3.37
4.112967,4.918
4.113606,2.406
4.114244,4.971
4.117755,3.541
4.118074,0.0
4.122223,2.432
4.12318,2.942
4.124776,4.901
4.131798,1.763
4.132117,0.0
4.137542,1.302
4.137862,2.455
4.140415,3.028
4.141053,5.228
4.142011,4.613
4.14233,0.0
4.143287,2.192
4.143926,0.0
4.145521,4.365
4.14616,0.211
4.149351,2.087
4.14967,3.767
4.149989,4.831
4.1535,4.475
4.157011,3.779
4.15733,0.844
4.160522,4.064
4.16116,1.508
4.161479,0.138
4.162117,1.093
4.162437,3.691
4.162756,5.543
4.163394,4.067
4.163713,2.304
4.164671,3.731
4.165309,2.215
